base,inflected
ABC,ABCs
ABD,ABDs
ABM,ABMs
ADR,ADRs
AFAIK,AFAIKs
AIDS,AIDSes
AI,AIs
ANSI,ANSIs
ASCII,ASCIIs
ATPase,ATPases
ATV,ATVs
Abbasid,Abbasids
Abenaki,Abenakis
Aberdonian,Aberdonians
Abib,Abibs
Abkhas,Abkhases
Abkhasian,Abkhasians
Abkhazian,Abkhazians
Abnaki,Abnakis
Abolitionist,Abolitionists
Aboriginal,Aboriginals
Aborigine,Aborigines
Abo,Abos
Ab,Abs
Abyssinian,Abyssinians
Acadian,Acadians
Acalepha,Acalephae
Acarida,Acaridae
Acarnanian,Acarnanians
Accadian,Accadians
Aceldama,Aceldamas
Achaean,Achaeans
Achaemenid,Achaemenids
Achaian,Achaians
Achromycin,Achromycins
Acrilan,Acrilans
Actaeon,Actaea
Act,Acts
Adamite,Adamites
Adam,Adams
Adar,Adars
Ada,Adas
Addressograph,Addressographs
Adelie,Adelies
Administration,Administrations
Admiralty,Admiralties
Adonis,Adonises
Adoptionism,Adoptionisms
Adoptionist,Adoptionists
Adrenalin,Adrenalins
Adriamycin,Adriamycins
Adventism,Adventisms
Adventist,Adventists
Advent,Advents
Adzharian,Adzharians
Adzhar,Adzhars
Aeginetan,Aeginetans
Aeolian,Aeolians
Aetolian,Aetolians
Afghani,Afghanis
Afghan,Afghans
Africander,Africanders
Africanism,Africanisms
Africanist,Africanists
Africanization,Africanizations
African,Africans
Afrikander,Afrikanders
Afrikanerdom,Afrikanerdoms
Afrikaner,Afrikaners
Afrocentrism,Afrocentrisms
Afro,Afros
Aggie,Aggies
Ainu,Ainus
Airedale,Airedales
Akan,Akans
Akela,Akelas
Akita,Akitas
Akkadian,Akkadians
Alabaman,Alabamans
Alabamian,Alabamians
Alamine,Alamines
Alaskan,Alaskans
Albanian,Albanians
Albertan,Albertans
Albigensianism,Albigensianisms
Albigensian,Albigensians
Albuquerquean,Albuquerqueans
Alcaic,Alcaics
Alcoran,Alcorans
Alderney,Alderneys
Aldine,Aldines
Alencon,Alencons
Aleppine,Aleppines
Aleutian,Aleutians
Aleut,Aleuts
Alexander,Alexanders
Alexandrian,Alexandrians
Alexandrine,Alexandrines
Alf,Alfs
Algerian,Algerians
Algerine,Algerines
Algonkian,Algonkians
Algonkin,Algonkins
Algonquian,Algonquians
Algonquin,Algonquins
Alkoran,Alkorans
